Price_AUS,weight_gr,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness
2357,135,5.2,424,8,1.35,16,3,13,8,2610,7.4
1749,125,4,233,2,1.3,4,1,3.15,0,1700,9.9
1916,110,4.7,312,4,1.2,8,1.5,13,5,2000,7.6
1315,118.5,4,233,2,1.3,4,0.512,3.15,0,1400,11
1749,125,4,233,2,1.3,4,1,3.15,0,1700,9.9
2137,150,5.5,401,4,2.3,16,2,16,8,2500,9.5
1238,134.1,4,233,2,1.2,8,1,2,0,1560,11.7
2137,150,5.5,401,4,2.3,16,2,16,8,2500,9.5
1315,118.5,4,233,2,1.3,4,0.512,3.15,0,1400,11
2580,145,5.1,432,4,2.5,16,2,16,2,2800,8.1
2438,162,5.3,277,8,1.5,32,4,13,8,4000,7.7
2006,161,5.5,200,8,1.4,4,1,5,0,2500,8.9
2174,140,5,294,4,1.3,16,1,13,5,2000,8.2
2744,174,5.6,524,4,2.7,32,3,16,3.7,3000,8.3
2580,145,5.1,432,4,2.5,16,2,16,2,2800,8.1
1612,141,5,294,4,1.2,8,1.5,8,1.2,2040,10
2258,150,5,441,4,2.3,16,2,13,2,2300,10
2938,168,5.5,534,4,1.875,32,4,12.3,8,3450,8.5
1612,141,5,294,4,1.2,8,1.5,8,1.2,2040,10
1238,134.1,4,233,2,1.2,8,1,2,0,1560,11.7
2438,162,5.3,277,8,1.5,32,4,13,8,4000,7.7
2392,147,5.2,282,8,1.4,32,3,13,16,2900,7.7
2977,152,5.1,577,8,2.3,32,4,12,5,3000,7.9
2744,174,5.6,524,4,2.7,32,3,16,3.7,3000,8.3
1942,139.2,4.7,469,4,2.15,16,2,16,4,2200,10.3
1390,146,5,220,4,1.2,8,1,5,5,1905,8.8
2006,161,5.5,200,8,1.4,4,1,5,0,2500,8.9
2938,168,5.5,534,4,1.875,32,4,12.3,8,3450,8.5
1390,146,5,220,4,1.2,8,1,5,5,1905,8.8
1950,118,5,187,4,1.3,8,1,8,2,2000,6.4
2258,150,5,441,4,2.3,16,2,13,2,2300,10
2977,152,5.1,577,8,2.3,32,4,12,5,3000,7.9
3316,144,5.2,428,8,1.75,32,3,20.7,5.1,2930,6.9
2654,151,5.7,386,8,1.55,32,2,16,5,3050,5.9
1421,120,4,233,2,1,4,0.512,2,0,1200,9.8
2654,151,5.7,386,8,1.55,32,2,16,5,3050,5.9
1942,139.2,4.7,469,4,2.15,16,2,16,4,2200,10.3
2124,489,10.1,224,4,2.26,16,2,5,2,7400,7.8
1777,174,5.5,178,4,1.3,4,0.512,5,0,2250,9.2
2392,147,5.2,282,8,1.4,32,3,13,16,2900,7.7
2124,489,10.1,224,4,2.26,16,2,5,2,7400,7.8
2087,147,5,294,4,1.3,32,3,8,5,2450,7.6
1843,133.5,4.5,218,4,1.3,8,1,5,0,1600,10.1
2087,147,5,294,4,1.3,32,3,8,5,2450,7.6
2859,169,5.7,515,4,1.875,64,4,12,5,3500,7.9
1989,131,5,294,4,1.3,16,2,13,5,2500,8.7
1421,120,4,233,2,1,4,0.512,2,0,1200,9.8
3316,144,5.2,428,8,1.75,32,3,20.7,5.1,2930,6.9
1843,133.5,4.5,218,4,1.3,8,1,5,0,1600,10.1
2685,168,5.7,386,8,1.8,32,3,21,5,3050,7.5
1741,145,4.5,245,4,1.2,8,1,5,0,2390,12.3
1347,260,7,170,2,1.3,4,0.512,2,0,2820,9.1
2859,169,5.7,515,4,1.875,64,4,12,5,3500,7.9
3658,168,5.15,428,8,2.45,64,6,12,8,3350,7.5
1984,154,5,294,4,1,8,1,8,5,3140,8.1
1777,174,5.5,178,4,1.3,4,0.512,5,0,2250,9.2
3658,168,5.15,428,8,2.45,64,6,12,8,3350,7.5
1984,154,5,294,4,1,8,1,8,5,3140,8.1
1989,131,5,294,4,1.3,16,2,13,5,2500,8.7
1741,145,4.5,245,4,1.2,8,1,5,0,2390,12.3
2824,175,5.5,401,6,1.53,32,3,21,8,3500,9.3
2746,158,5.5,401,4,1.83,64,4,13,5,4000,8.5
1347,260,7,170,2,1.3,4,0.512,2,0,2820,9.1
2323,97,4.8,306,8,1.7,16,1,8,5,2100,5.1
2685,168,5.7,386,8,1.8,32,3,21,5,3050,7.5
2824,175,5.5,401,6,1.53,32,3,21,8,3500,9.3
2746,158,5.5,401,4,1.83,64,4,13,5,4000,8.5
2044,310,8,283,8,2,8,2,5,2,4060,7.3
1734,128,4.5,245,4,1.2,4,1,8,0,1840,8.5
2323,97,4.8,306,8,1.7,16,1,8,5,2100,5.1
1734,128,4.5,245,4,1.2,4,1,8,0,1840,8.5
2276,116,5,294,8,1.5,16,2,13,5,2300,7.8
2044,310,8,283,8,2,8,2,5,2,4060,7.3
3116,153,5.5,401,8,1.5,64,4,13,16,3200,7.3
2571,97,4.8,306,4,1.2,16,2,8,5,2000,5.1
2276,116,5,294,8,1.5,16,2,13,5,2300,7.8
2571,97,4.8,306,4,1.2,16,2,8,5,2000,5.1
1396,279,7,170,4,1.2,4,1,3,0,3240,9
2714,156,5.5,401,8,1.35,16,2,13,5,2300,5.1
3005,171,5.7,515,8,1.8,32,4,16,5,3000,7.6
2714,156,5.5,401,8,1.35,16,2,13,5,2300,5.1
791,66,1.5,121,1,0.208,0,0.004,0,0,800,13.2
3005,171,5.7,515,8,1.8,32,4,16,5,3000,7.6
3837,167.8,5.43,541,4,1.875,128,6,16,8,3600,7.6
1646,404,8,160,4,1.2,8,1,5,5,4500,9
1396,279,7,170,4,1.2,4,1,3,0,3240,9
791,66,1.5,121,1,0.208,0,0.004,0,0,800,13.2
3837,167.8,5.43,541,4,1.875,128,6,16,8,3600,7.6
1302,127.9,4,235,2,1.2,8,1,2,0,1500,10.6
1302,127.9,4,235,2,1.2,8,1,2,0,1500,10.6
1646,404,8,160,4,1.2,8,1,5,5,4500,9
1831,154,5,294,4,1.2,8,1,13,5,2100,8.4
1831,154,5,294,4,1.2,8,1,13,5,2100,8.4
1810,393,8,189,4,1.2,16,1.5,3.15,1.2,4450,9.7
1511,134,4.5,221,4,1.2,8,0.512,5,0,1830,9.2
1810,393,8,189,4,1.2,16,1.5,3.15,1.2,4450,9.7
2562,187,6,367,8,1.7,16,2,13,13,2930,8.2
2562,187,6,367,8,1.7,16,2,13,13,2930,8.2
1522,160,5,220,2,1.2,0,1,8,0,2500,10.8
1511,134,4.5,221,4,1.2,8,0.512,5,0,1830,9.2
2343,158,5.1,432,4,2.5,16,2,16,2,2800,8.9
833,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9
1522,160,5,220,2,1.2,0,1,8,0,2500,10.8
2343,158,5.1,432,4,2.5,16,2,16,2,2800,8.9
2744,142,5,440,8,1.25,16,2,16,8,2700,8
833,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9
2744,142,5,440,8,1.25,16,2,16,8,2700,8
1676,150,5,294,4,1.2,16,1,10,0.9,2200,8.5
1676,150,5,294,4,1.2,16,1,10,0.9,2200,8.5
2858,174,5.7,513,4,1.875,32,4,16,5,3200,7.6
754,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4
2975,149,5.5,534,8,1.6,32,3,16,8,3000,7
2975,149,5.5,534,8,1.6,32,3,16,8,3000,7
754,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4
2880,145,5.1,432,8,2.1,32,4,20,8,3200,7
2858,174,5.7,513,4,1.875,32,4,16,5,3200,7.6
3287,170,5.5,401,8,2,32,4,12,13,5000,8
3287,170,5.5,401,8,2,32,4,12,13,5000,8
2054,169,5.5,403,8,1.35,16,2,21,5,3630,10.9
1734,118,4,245,4,1.2,4,0.512,5,2,1730,10.9
1734,118,4,245,4,1.2,4,0.512,5,2,1730,10.9
2054,169,5.5,403,8,1.35,16,2,21,5,3630,10.9
2001,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2
2001,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2
2880,145,5.1,432,8,2.1,32,4,20,8,3200,7
705,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6
705,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6
2491,753,12.2,247,8,1.6,32,3,8,2,9500,8
2491,753,12.2,247,8,1.6,32,3,8,2,9500,8
2466,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1
1357,165,4.66,200,4,1.2,0,0,5,0,2600,11.6
1357,165,4.66,200,4,1.2,0,0,5,0,2600,11.6
2466,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1
2266,112,5,294,8,1.4,8,1,8,8,1900,6.3
2266,112,5,294,8,1.4,8,1,8,8,1900,6.3
2445,183,5,294,4,1.3,32,3,8,5,4000,8.5
2445,183,5,294,4,1.3,32,3,8,5,4000,8.5
3116,153,5.5,401,8,1.5,64,4,13,16,3200,7.3
2409,160,5,441,4,2.3,32,2,4,5,2600,9.4
2409,160,5,441,4,2.3,32,2,4,5,2600,9.4
628,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5
628,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5
2508,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3
2508,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3
1921,179,6,184,4,1.3,8,1,13,8,2580,8
1921,179,6,184,4,1.3,8,1,13,8,2580,8
3102,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8
3102,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8
3055,158,5.5,401,4,1.875,64,6,16,8,3000,7.4
614,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1
614,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1
3055,158,5.5,401,4,1.875,64,6,16,8,3000,7.4
4361,238,5.7,515,8,1.95,128,6,12,8,7000,7.4
4361,238,5.7,515,8,1.95,128,6,12,8,7000,7.4
2536,202,6,367,8,1.5,16,3,21.5,16,2700,8.4
3551,178,5.46,538,4,1.875,128,6,12,16,4080,8.4
3551,178,5.46,538,4,1.875,128,6,12,16,4080,8.4
3211,170,5.5,534,4,1.975,128,6,20,8,3400,7.9
3260,150,5.5,401,8,2.2,64,4,20,20,3000,6.8
3211,170,5.5,534,4,1.975,128,6,20,8,3400,7.9
2536,202,6,367,8,1.5,16,3,21.5,16,2700,8.4